reading_id,station,timestamp,temperature,humidity_pct,wind_ms
R0479,Echo,2025-03-21 05:15:00,7.1,31.4,14.1
R0290,Delta,2025-03-13 08:00:00,9.7,74.2,13.5
R0306,Delta,2025-03-14 00:00:00,13.4,70.5,16.0
R0593,Echo,2025-03-05 23:15:00,8.61,75.0,15.4
R0368,Charlie,2025-03-16 14:00:00,7.8,56.0,9.8
R0173,Bravo,2025-03-08 11:30:00,1.9,43.2,15.8
R0112,Delta,2025-03-05 22:30:00,8.5,63.4,4.1
R0145,Alpha,2025-03-07 07:30:00,8.5,92.9,5.7
R0560,Charlie,2025-03-04 14:00:00,9.89,35.5,8.8
R0432,Echo,2025-03-19 06:00:00,4.72,84.2,11.6
R0010,Echo,2025-03-01 16:00:00,22.5,43.0,13.8
R0164,Alpha,2025-03-08 02:30:00,12.0,,11.3
R0350,Alpha,2025-03-15 20:30:00,6.6,70.4,15.5
R0353,Alpha,2025-03-15 23:15:00,15.0,51.5,4.0
R0447,Echo,2025-03-19 21:00:00,8.5,67.7,12.4
R0369,Alpha,2025-03-16 15:00:00,10.3,45.6,5.6
R0364,Echo,2025-03-16 10:30:00,1.7,52.0,2.7
R0549,Charlie,2025-03-04 03:15:00,0.1,82.8,15.5
R0313,Bravo,2025-03-14 07:15:00,11.3,76.1,3.1
R0082,Delta,2025-03-04 16:15:00,5.8,51.2,8.3
R0565,Charlie,2025-03-04 19:30:00,14.5,66.7,11.4
R0067,Alpha,2025-03-04 01:30:00,1.0,68.7,6.5
R0506,Alpha,2025-03-02 08:30:00,16.5,44.9,14.2
R0036,Bravo,2025-03-02 18:30:00,8.39,44.3,11.9
R0205,Delta,2025-03-09 19:30:00,23.8,49.6,3.1
R0535,Echo,2025-03-03 13:15:00,11.28,70.3,7.9
R0109,Charlie,2025-03-05 19:00:00,9.5,55.0,7.1
R0006,Delta,2025-03-01 12:30:00,1.2,83.2,12.1
R0287,Bravo,2025-03-13 05:30:00,9.5,41.9,12.0
R0049,Charlie,2025-03-03 07:00:00,10.61,64.6,1.9
R0222,Bravo,2025-03-10 12:00:00,12.7,46.8,15.0
R0547,Bravo,2025-03-04 01:30:00,19.1,,11.6
R0217,Bravo,2025-03-10 07:15:00,1.1,62.2,8.8
R0072,Alpha,2025-03-04 06:30:00,11.0,92.6,3.0
R0592,Charlie,2025-03-05 22:15:00,15.2,70.2,13.4
R0536,Bravo,2025-03-03 14:30:00,11.3,32.0,0.0
R0110,Echo,2025-03-05 20:30:00,9.6,52.6,9.2
R0015,Charlie,2025-03-01 21:30:00,9.5,67.9,8.9
R0522,Alpha,2025-03-03 00:15:00,19.6,64.8,1.2
R0275,Delta,2025-03-12 17:00:00,12.1,71.3,2.1
R0187,Bravo,2025-03-09 01:00:00,9.3,74.8,3.7
R0214,Bravo,2025-03-10 04:00:00,13.5,57.1,3.0
R0562,Delta,2025-03-04 16:15:00,23.78,73.5,13.4
R0542,Echo,2025-03-03 20:00:00,6.39,57.5,14.0
R0185,Delta,2025-03-08 23:00:00,15.1,,1.7
R0338,Alpha,2025-03-15 08:00:00,9.7,36.4,8.6
R0571,Charlie,2025-03-05 01:15:00,4.6,44.9,0.4
R0578,Bravo,2025-03-05 08:15:00,6.3,,2.2
R0280,Delta,2025-03-12 22:15:00,14.6,62.4,0.8
R0156,Echo,2025-03-07 18:00:00,4.2,47.0,13.2
R0584,Charlie,2025-03-05 14:30:00,6.2,33.9,10.2
R0262,Delta,2025-03-12 04:30:00,7.2,36.1,0.9
R0200,Alpha,2025-03-09 14:15:00,12.7,52.1,17.1
R0216,Charlie,2025-03-10 06:00:00,5.5,79.9,1.0
R0373,Bravo,2025-03-16 19:30:00,13.1,,5.6
R0393,Delta,2025-03-17 15:00:00,13.61,67.0,2.2
R0347,Echo,2025-03-15 17:00:00,11.1,52.3,17.1
R0103,Charlie,2025-03-05 13:00:00,12.6,,0.0
R0305,Delta,2025-03-13 23:30:00,14.6,,3.7
R0582,Charlie,2025-03-05 12:00:00,15.8,44.0,0.9
R0371,Echo,2025-03-16 17:00:00,18.0,36.8,16.2
R0071,Echo,2025-03-04 05:30:00,18.8,39.4,10.3
R0020,Bravo,2025-03-02 02:30:00,7.0,34.5,16.6
R0138,Charlie,2025-03-07 00:00:00,18.5,40.3,16.0
R0408,Bravo,2025-03-18 06:00:00,13.5,68.2,3.8
R0021,Echo,2025-03-02 03:00:00,14.2,,11.5
R0503,Alpha,2025-03-02 05:00:00,11.4,,9.8
R0232,Bravo,2025-03-10 22:15:00,12.1,58.3,7.6
